Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Australia,Meat,Online,C,4/4/2011,451691138,5/23/2011,4300,421.89,364.69,1814127.00,1568167.00,245960.00
Asia,Tajikistan,Personal Care,Online,L,7/12/2018,144177377,8/1/2018,4145,81.73,56.67,338770.85,234897.15,103873.70
Sub-Saharan Africa,Mozambique,Cosmetics,Online,H,7/6/2011,982716166,7/17/2011,6407,437.20,263.33,2801140.40,1687155.31,1113985.09
Central America and the Caribbean,Panama,Personal Care,Offline,L,5/1/2011,784543836,5/11/2011,2810,81.73,56.67,229661.30,159242.70,70418.60
North America,Canada,Fruits,Online,H,11/15/2013,137209212,12/29/2013,2110,9.33,6.92,19686.30,14601.20,5085.10
Europe,Italy,Fruits,Offline,C,7/16/2016,148573625,7/18/2016,5092,9.33,6.92,47508.36,35236.64,12271.72
Europe,Romania,Beverages,Offline,C,11/15/2012,196810901,12/1/2012,9574,47.45,31.79,454286.30,304357.46,149928.84
Australia and Oceania,Australia,Cosmetics,Offline,L,4/30/2019,180407369,5/25/2019,5404,437.20,263.33,2362628.80,1423035.32,939593.48
Europe,Bosnia and Herzegovina,Cosmetics,Offline,C,5/29/2016,968161857,6/8/2016,9463,437.20,263.33,4137223.60,2491891.79,1645331.81
Asia,Japan,Clothes,Online,M,3/25/2018,349185693,4/8/2018,661,109.28,35.84,72234.08,23690.24,48543.84
Australia and Oceania,Papua New Guinea,Beverages,Online,H,8/28/2013,682902705,9/18/2013,4941,47.45,31.79,234450.45,157074.39,77376.06
Sub-Saharan Africa,Madagascar,Fruits,Online,L,6/17/2014,349049222,7/10/2014,276,9.33,6.92,2575.08,1909.92,665.16
Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Online,H,11/11/2017,497674071,11/16/2017,1672,81.73,56.67,136652.56,94752.24,41900.32
Europe,Slovakia,Meat,Online,M,11/26/2011,999138581,12/10/2011,6164,421.89,364.69,2600529.96,2247949.16,352580.80
Sub-Saharan Africa,Eritrea,Meat,Offline,H,11/9/2012,894116580,12/13/2012,7820,421.89,364.69,3299179.80,2851875.80,447304.00
Sub-Saharan Africa,Botswana,Cereal,Online,M,2/11/2017,643594396,2/24/2017,2739,205.70,117.11,563412.30,320764.29,242648.01
Australia and Oceania,Federated States of Micronesia,Household,Offline,C,3/25/2017,778870856,5/3/2017,4049,668.27,502.54,2705825.23,2034784.46,671040.77
