Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Uzbekistan,Meat,Offline,M,12/11/2017,551557290,12/20/2017,6914,421.89,364.69,2916947.46,2521466.66,395480.80
Middle East and North Africa,Jordan,Beverages,Offline,M,2/29/2020,183577525,3/13/2020,3524,47.45,31.79,167213.80,112027.96,55185.84
Australia and Oceania,Federated States of Micronesia,Snacks,Offline,H,8/6/2015,417167890,8/8/2015,8104,152.58,97.44,1236508.32,789653.76,446854.56
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,C,7/4/2013,264877212,7/20/2013,1908,668.27,502.54,1275059.16,958846.32,316212.84
Europe,Kosovo,Cereal,Offline,H,12/17/2013,159566819,12/24/2013,8223,205.70,117.11,1691471.10,962995.53,728475.57
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Online,H,3/8/2013,604410541,3/25/2013,7365,9.33,6.92,68715.45,50965.80,17749.65
Asia,India,Snacks,Offline,L,8/6/2019,822894704,9/25/2019,1684,152.58,97.44,256944.72,164088.96,92855.76
Asia,Taiwan,Clothes,Offline,L,5/22/2016,108818137,7/9/2016,560,109.28,35.84,61196.80,20070.40,41126.40
Central America and the Caribbean,Trinidad and Tobago,Meat,Offline,H,5/4/2020,976292169,5/21/2020,5403,421.89,364.69,2279471.67,1970420.07,309051.60
Sub-Saharan Africa,Eritrea,Snacks,Offline,L,4/21/2012,609740626,4/23/2012,4656,152.58,97.44,710412.48,453680.64,256731.84
Europe,Denmark,Cosmetics,Online,H,5/31/2017,313899838,6/11/2017,8793,437.20,263.33,3844299.60,2315460.69,1528838.91
Sub-Saharan Africa,Kenya,Cereal,Online,H,3/5/2014,563818633,4/13/2014,5318,205.70,117.11,1093912.60,622790.98,471121.62
Europe,Finland,Snacks,Offline,L,9/10/2014,554858338,10/25/2014,3767,152.58,97.44,574768.86,367056.48,207712.38
Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,L,7/11/2016,452692782,8/7/2016,709,152.58,97.44,108179.22,69084.96,39094.26
Middle East and North Africa,Tunisia ,Cosmetics,Offline,L,9/28/2018,943308293,11/12/2018,4741,437.20,263.33,2072765.20,1248447.53,824317.67
Asia,Kazakhstan,Cereal,Online,C,7/23/2016,983003699,9/10/2016,1494,205.70,117.11,307315.80,174962.34,132353.46
Sub-Saharan Africa,Sao Tome and Principe,Meat,Online,L,5/27/2017,948390328,7/16/2017,8628,421.89,364.69,3640066.92,3146545.32,493521.60
Sub-Saharan Africa,South Africa,Meat,Offline,H,2/24/2014,386392009,4/14/2014,837,421.89,364.69,353121.93,305245.53,47876.40
Middle East and North Africa,Kuwait,Baby Food,Offline,H,11/20/2011,264245069,11/30/2011,4843,255.28,159.42,1236321.04,772071.06,464249.98
Europe,Bulgaria,Clothes,Online,M,11/5/2011,719498336,12/10/2011,4401,109.28,35.84,480941.28,157731.84,323209.44
Central America and the Caribbean,Dominican Republic,Meat,Offline,H,10/9/2016,610013139,11/17/2016,5298,421.89,364.69,2235173.22,1932127.62,303045.60
Sub-Saharan Africa,Madagascar,Cereal,Offline,M,11/13/2014,663963305,12/9/2014,352,205.70,117.11,72406.40,41222.72,31183.68
Central America and the Caribbean,Cuba,Snacks,Offline,C,3/25/2017,329835164,4/7/2017,4410,152.58,97.44,672877.80,429710.40,243167.40
Australia and Oceania,Tuvalu,Office Supplies,Online,L,6/2/2020,926427543,6/7/2020,9352,651.21,524.96,6090115.92,4909425.92,1180690.00
Australia and Oceania,Palau,Fruits,Offline,M,10/20/2011,692851769,11/10/2011,9090,9.33,6.92,84809.70,62902.80,21906.90
