Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Malta,Snacks,Online,H,4/19/2011,116912829,4/27/2011,5959,152.58,97.44,909224.22,580644.96,328579.26
Europe,France,Meat,Offline,M,12/14/2019,444161641,12/24/2019,6155,421.89,364.69,2596732.95,2244666.95,352066.00
Europe,Malta,Personal Care,Online,C,3/26/2016,534943473,4/7/2016,516,81.73,56.67,42172.68,29241.72,12930.96
Asia,Malaysia,Beverages,Offline,C,3/29/2014,878369653,4/4/2014,7954,47.45,31.79,377417.30,252857.66,124559.64
Asia,Thailand,Office Supplies,Offline,H,7/17/2013,233864009,8/11/2013,4412,651.21,524.96,2873138.52,2316123.52,557015.00
Europe,Belgium,Snacks,Offline,H,3/19/2015,581162869,4/2/2015,7863,152.58,97.44,1199736.54,766170.72,433565.82
Sub-Saharan Africa,Comoros,Snacks,Online,M,6/22/2016,370315062,6/28/2016,3311,152.58,97.44,505192.38,322623.84,182568.54
Europe,Finland,Cereal,Online,M,1/22/2016,371681916,3/11/2016,7793,205.70,117.11,1603020.10,912638.23,690381.87
Central America and the Caribbean,El Salvador,Cereal,Offline,H,7/21/2019,525937259,8/15/2019,5377,205.70,117.11,1106048.90,629700.47,476348.43
Sub-Saharan Africa,Ethiopia,Vegetables,Online,L,8/24/2012,394067418,9/28/2012,2161,154.06,90.93,332923.66,196499.73,136423.93
Europe,Romania,Fruits,Offline,C,12/23/2019,507371222,1/5/2020,1274,9.33,6.92,11886.42,8816.08,3070.34
Europe,Croatia,Cereal,Online,C,3/16/2014,117460000,3/27/2014,7879,205.70,117.11,1620710.30,922709.69,698000.61
Middle East and North Africa,Syria,Cereal,Offline,H,8/16/2017,346257579,9/1/2017,4167,205.70,117.11,857151.90,487997.37,369154.53
Asia,Philippines,Vegetables,Online,H,4/3/2011,136000287,5/2/2011,4362,154.06,90.93,672009.72,396636.66,275373.06
Asia,Singapore,Cereal,Offline,L,1/16/2015,299236953,2/26/2015,9719,205.70,117.11,1999198.30,1138192.09,861006.21
Europe,Kosovo,Cosmetics,Online,M,5/15/2018,368828904,5/17/2018,3524,437.20,263.33,1540692.80,927974.92,612717.88
Europe,San Marino,Meat,Online,C,6/15/2017,847949969,6/21/2017,6094,421.89,364.69,2570997.66,2222420.86,348576.80
Sub-Saharan Africa,Gabon,Baby Food,Online,M,1/10/2010,960086476,1/16/2010,9778,255.28,159.42,2496127.84,1558808.76,937319.08
Asia,India,Meat,Online,H,5/14/2011,899037253,6/29/2011,3957,421.89,364.69,1669418.73,1443078.33,226340.40
Australia and Oceania,Tonga,Meat,Offline,L,11/7/2016,478913629,12/6/2016,40,421.89,364.69,16875.60,14587.60,2288.00
Sub-Saharan Africa,Cape Verde,Clothes,Online,H,1/14/2018,484139430,1/16/2018,6471,109.28,35.84,707150.88,231920.64,475230.24
Asia,Thailand,Personal Care,Online,C,8/31/2018,419450986,9/23/2018,3723,81.73,56.67,304280.79,210982.41,93298.38
Central America and the Caribbean,Saint Lucia,Clothes,Online,C,8/20/2018,759897124,9/25/2018,9301,109.28,35.84,1016413.28,333347.84,683065.44
Europe,Slovenia,Vegetables,Online,C,5/8/2019,700839173,5/8/2019,2740,154.06,90.93,422124.40,249148.20,172976.20
Europe,Bulgaria,Snacks,Offline,H,5/17/2018,407950961,5/31/2018,610,152.58,97.44,93073.80,59438.40,33635.40
Central America and the Caribbean,Jamaica,Vegetables,Online,C,10/9/2014,567218816,11/16/2014,1507,154.06,90.93,232168.42,137031.51,95136.91
Europe,Germany,Baby Food,Online,L,6/17/2014,134941565,7/7/2014,1063,255.28,159.42,271362.64,169463.46,101899.18
Europe,Czech Republic,Beverages,Online,H,3/1/2014,387730538,3/24/2014,6937,47.45,31.79,329160.65,220527.23,108633.42
